Region,Year,ProductCategory,UnitsSold,SalesValue_INR
Coimbatore,2023,Electronics,25000,125000000
Coimbatore,2023,Home Appliance,15000,105000000
Coimbatore,2024,Electronics,28000,140000000
Coimbatore,2024,Home Appliance,16500,115500000
Chennai,2023,Electronics,45000,225000000
Chennai,2023,Home Appliance,30000,210000000
Chennai,2024,Electronics,49000,245000000
Chennai,2024,Home Appliance,32000,224000000
Trichy,2023,Electronics,12000,60000000
Trichy,2023,Home Appliance,8000,56000000
Trichy,2024,Electronics,13500,67500000
Trichy,2024,Home Appliance,8500,59500000
Kochi,2023,Electronics,20000,100000000
Kochi,2023,Home Appliance,12000,84000000
Kochi,2024,Electronics,22000,110000000
Kochi,2024,Home Appliance,13000,91000000
Salem,2023,Electronics,10000,50000000
Salem,2023,Home Appliance,7000,49000000
Salem,2024,Electronics,11000,55000000
Salem,2024,Home Appliance,7500,52500000
